NUM;Fecha;0;1;2;3;4
152;2018-04-20 10:00:00;23.010845987;23.0021436227;23.0;23.0;23.0
153;2018-04-20 10:30:00;23.0021436227;23.0;23.0;23.0;23.0
154;2018-04-20 11:00:00;23.0;23.0;23.0;23.0;23.0
155;2018-04-20 11:30:00;23.0;23.0;23.0;23.0;23.0
156;2018-04-20 12:00:00;23.0;23.0;23.0;23.0;23.0
157;2018-04-20 12:30:00;23.0;23.0;23.0;23.0;23.0
158;2018-04-20 13:00:00;23.0;23.0;23.0;23.0;23.0
159;2018-04-20 13:30:00;23.0;23.0;23.0;23.0;23.0
160;2018-04-20 14:00:00;23.0;23.0;23.0;23.0;23.0010683761
161;2018-04-20 14:30:00;23.0;23.0;23.0;23.0010683761;23.0351812367
162;2018-04-20 15:00:00;23.0;23.0;23.0010683761;23.0351812367;23.094017094
163;2018-04-20 15:30:00;23.0;23.0010683761;23.0351812367;23.094017094;23.0010660981
164;2018-04-20 16:00:00;23.0010683761;23.0351812367;23.094017094;23.0010660981;23.0
165;2018-04-20 16:30:00;23.0351812367;23.094017094;23.0010660981;23.0;23.0
166;2018-04-20 17:00:00;23.094017094;23.0010660981;23.0;23.0;23.0
167;2018-04-20 17:30:00;23.0010660981;23.0;23.0;23.0;23.0
168;2018-04-20 18:00:00;23.0;23.0;23.0;23.0;23.0
169;2018-04-20 18:30:00;23.0;23.0;23.0;23.0;23.0
170;2018-04-20 19:00:00;23.0;23.0;23.0;23.0;23.0
171;2018-04-20 19:30:00;23.0;23.0;23.0;23.0;23.0
172;2018-04-20 20:00:00;23.0;23.0;23.0;23.0;23.0
173;2018-04-20 20:30:00;23.0;23.0;23.0;23.0;23.0
174;2018-04-20 21:00:00;23.0;23.0;23.0;23.0;23.0
175;2018-04-20 21:30:00;23.0;23.0;23.0;23.0;23.0
176;2018-04-20 22:00:00;23.0;23.0;23.0;23.0;23.0
177;2018-04-20 22:30:00;23.0;23.0;23.0;23.0;23.0
178;2018-04-20 23:00:00;23.0;23.0;23.0;23.0;23.0
179;2018-04-20 23:30:00;23.0;23.0;23.0;23.0;23.0
180;2018-04-21 00:00:00;23.0;23.0;23.0;23.0;23.0
181;2018-04-21 00:30:00;23.0;23.0;23.0;23.0;23.017130621
182;2018-04-21 01:00:00;23.0;23.0;23.0;23.017130621;23.0
183;2018-04-21 01:30:00;23.0;23.0;23.017130621;23.0;23.0
184;2018-04-21 02:00:00;23.0;23.017130621;23.0;23.0;23.0428724544
185;2018-04-21 02:30:00;23.017130621;23.0;23.0;23.0428724544;23.0439914163
186;2018-04-21 03:00:00;23.0;23.0;23.0428724544;23.0439914163;23.0
187;2018-04-21 03:30:00;23.0;23.0428724544;23.0439914163;23.0;23.0
188;2018-04-21 04:00:00;23.0428724544;23.0439914163;23.0;23.0;23.0
189;2018-04-21 04:30:00;23.0439914163;23.0;23.0;23.0;23.0
190;2018-04-21 05:00:00;23.0;23.0;23.0;23.0;23.0
191;2018-04-21 05:30:00;23.0;23.0;23.0;23.0;23.4785867238
192;2018-04-21 06:00:00;23.0;23.0;23.0;23.4785867238;23.5386266094
193;2018-04-21 06:30:00;23.0;23.0;23.4785867238;23.5386266094;23.0010718114
194;2018-04-21 07:00:00;23.0;23.4785867238;23.5386266094;23.0010718114;23.3165775401
195;2018-04-21 07:30:00;23.4785867238;23.5386266094;23.0010718114;23.3165775401;23.3016042781
196;2018-04-21 08:00:00;23.5386266094;23.0010718114;23.3165775401;23.3016042781;23.1479099678
197;2018-04-21 08:30:00;23.0010718114;23.3165775401;23.3016042781;23.1479099678;23.3736616702
198;2018-04-21 09:00:00;23.3165775401;23.3016042781;23.1479099678;23.3736616702;23.1276824034
199;2018-04-21 09:30:00;23.3016042781;23.1479099678;23.3736616702;23.1276824034;23.2154340836
200;2018-04-21 10:00:00;23.1479099678;23.3736616702;23.1276824034;23.2154340836;23.1108742004
201;2018-04-21 10:30:00;23.3736616702;23.1276824034;23.2154340836;23.1108742004;23.0287539936
202;2018-04-21 11:00:00;23.1276824034;23.2154340836;23.1108742004;23.0287539936;23.0
203;2018-04-21 11:30:00;23.2154340836;23.1108742004;23.0287539936;23.0;23.0202342918
204;2018-04-21 12:00:00;23.1108742004;23.0287539936;23.0;23.0202342918;23.0
205;2018-04-21 12:30:00;23.0287539936;23.0;23.0202342918;23.0;23.0
206;2018-04-21 13:00:00;23.0;23.0202342918;23.0;23.0;23.0
207;2018-04-21 13:30:00;23.0202342918;23.0;23.0;23.0;23.0
208;2018-04-21 14:00:00;23.0;23.0;23.0;23.0;23.0
209;2018-04-21 14:30:00;23.0;23.0;23.0;23.0;23.0
